Review_Title,Review_Text,Verified_Buyer,Review_Date,Review_Location,Review_Upvotes,Review_Downvotes,Product,Brand,Scrape_Date
Smooth and soft,"First off the size of the tube is huge...you will get tons of use out of it. Love the creamy, softly scented lather. After cleansing skin did not feel tight and uncomfortable. Skin felt refreshed, clean and silky. I would totally recommend Dermalogica intense moisturizing cleanser for anyone who is tired of their skin feeling dry and rough after you cleanse your face.",No,4 years ago,"Pollock Pines,Ca",0,0,Daily Superfoliant,Dermalogica,3/27/23
Try it you will like it,This is a gentle way to exfoliate. I use it at least 3 times a week. Skin is soft and smooth afterwards. Don't forget to use toner when finished before applying you moisturizer,Yes,6 years ago,Ft Myers FL,0,0,Daily Microfoliant,Dermalogica,3/27/23
Poor substitute for Essential Cleansing Solution,"I don't want to use this product. I want back the 16.9 oz Essential Cleansing Solution that I have used for a couple decades. Apparently it has been discontinued. I can't get it on your website or at Ulta. Your ""help"" chat tells me that this product is the substitute. Ahhh, no, it's not, when it only comes in 10 oz and costs far more than the 16.9 oz Essential Cleansing Solution (which was allegedly also moisturizing) did. I tried a sample of this new product, and it seems exactly the same, albeit the different name and the jacked-up price.",No,4 years ago,"Dallas, TX",8,0,Daily Superfoliant,Dermalogica,3/27/23
Love this mask,I just used my fingers and rubbed mask on clean damp skin. Left on for 5 mins and then wet fingers and rubbed it into my skin and then rinsed off. My skin was left feeling so soft and smooth and looking great. The texture of the mask has little spheres and it smells great. I would definitely recommend giving it a try!,No,2 years ago,Iowa,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
game changer!,I combine this exfoliant with my gel cleanser and then apply to my face instead of using individually. I still get the same great results but it just takes less time!,No,3 years ago,"Cedar Ciy, Utah",0,0,Daily Superfoliant,Dermalogica,3/27/23
It's okay,Makes my skin super soft but other than that it's worthless,No,1 year ago,Maryland,0,2,Daily Microfoliant,Dermalogica,3/27/23
Excellent product,I recommend 100% this product. The skin feels super smooth after using it.,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
This is a great wash,This is a great wash for my sensitive skin. I use it intermittently with a foam wash.,Yes,8 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Awesome product,"The superfoliant has been amazing for my skin - it gets rid of any flaky bumpy textures on the skin, smooths over my nose where I have small open pores left from days when I had acne, and leaves my skin feeling super smooth. It's great used in conjunction with Dermalogica's smoothing cream to leave your skin feeling baby soft, and also a great base if you are applying makeup. I wouldn't use this everyday if you have sensitive skin or have previously taken Acutane, I use it twice a week and the results are brilliant. Product was sent to me for testing but all my reviews are 100% honest, and no commission or payment is received.",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing mask!!,"I currently have acne scars and I tried this to see if it actually works and mind you dermalogica is a good brand. I put the mask on my face and neck and wow amazing, I felt it tingling and it was so good. My face was soft I prefer to use once a week. Other than that love it",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Would recommend!,I loved how the cleaner left my skin feeling so smooth and fresh. It has a nice scent as well.,No,4 years ago,"Medford, NY",0,0,Daily Superfoliant,Dermalogica,3/27/23
Great!,Great!,Yes,2 years ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Very good facial cleanser,Dermatologica intensive moisture cleanser is one of the best feeling cleansers I've used. So easy to lather onto your face and rinse off. Easy for a quick routine and the after feel is amazing! You can tell it tightens also as your face feels tight and smooth. Definitely would recommend!,No,4 years ago,Bellevue IA,1,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing product,"This product leaves your skin looking smooth and hydrated . It also has a light scent of cucumber and bamboo. It's convenient for those on a time crunch, as it only takes 5 minutes to work it magic. I received this as complimentary product.",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Turned My Pores BLACK,This product nicely exfoliated my skin. But it turned my pores black! It now looks like I have tiny blackheads all over my T Zone! I hope this will go away quickly! I couldn't believe my eyes. It looks like I have blackheads everywhere. The powder is grey and turns black when it's mixed with water. BEWARE!!!,No,2 years ago,New Jersey,1,2,Daily Superfoliant,Dermalogica,3/27/23
Im a fan of this,"Im a HUGE fan of this product. After adding this to my skincare routine, my skin looks smoother, softer and a bit brighter. It has overall softened the look, and feel of my skins texture. I have purchased this product multiple times, and will continue to buy it/use it regularly.",No,1 year ago,Maryland,0,0,Daily Microfoliant,Dermalogica,3/27/23
Skin game changer,"I got sent this product complimentary from Influenster and as a big skin care fan I was intrigued to see how this would differ from other exfoliates. All I can say is wow, I suffer from the odd break out but from using this product my skin texture is much smoother and skin is clearer. I use this every day and use if either first thing in the morning after cleansing or last thing at night after removing my make and cleansing and leaves my skin feeling refreshed and super clean.",No,5 years ago,glasgow,0,0,Daily Superfoliant,Dermalogica,3/27/23
Leaves face smoothing and refreshed!,I use it in the shower approx twice weekly after I use the Dermalogica special cleansing gel. I like the heating element when rubbing on your face. Leaves my face feeling smooth and refreshing!,Yes,4 years ago,"Gretna, LA",1,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
So far I love it!,"I've been using this roughly 4-5 days a week for 3 weeks and I definitely notice a difference in texture and I'm a LOT less oily. I'm not sure if this is the ""holy grail"" for oily skin, but so far it's been fantastic. THIS IS IN POWDER FORM AND REQUIRES WATER TO ACTIVIATE IT! I didn't see that part until I watched a YouTube review after I'd ordered. If it feels too gritty just add a drop or 2 of water for a smoother texture. I don't have sensitive skin, but have had to skip a day here and there because my nose (sides of nostril area) gets a kind of raw/chapped feeling but that could be from a product combo issue. No regrets buying, it pairs well with the Dermalogica sebum clearing mask if you're super oily.",Yes,3 years ago,"Dallas, TX",0,0,Daily Superfoliant,Dermalogica,3/27/23
Would absolutely buy this again,"This product is wonderful! Some masks you have to keep on for at least 10 minutes, this one takes 5 minutes so if you are in a hurry this one is perfect. Also it makes your skin feel extremely soft afterwards. I did have a small breakout after using it for the first time but that just means that it's getting out the impurities.",No,2 years ago,"Orlando, Fl",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Definitely works better than the generic,Removes the dry/dead skin (especially in winter) so that the moisturizers can do their job.,Yes,7 years ago,IL,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Great product,This product is fantastic! I love that it has a clean scent and leaves my face feeling clean and refreshed after using.,No,2 years ago,Michigan,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Holy grail physical exfoliator,This stuff helped clear up all of my acne. It definitely is gentle enough to use every day but I would recommend only once if you have sensitive skin because it can cause minor chemical burns. Now that my acne has cleared up I use it every other day to keep my acne down and so far it's lived up to my expectations. You only need a quarter amount of product and this has lasted me 4 months and I'm not even halfway done with it.,No,4 years ago,Las Vegas,1,0,Daily Microfoliant,Dermalogica,3/27/23
Better than the daily microfoliant!,"Better smell, love the exfoliating effects!",Yes,3 years ago,"Gurnee,IL",0,0,Daily Superfoliant,Dermalogica,3/27/23
Great!!!,This product was recommended by one of the skin specialists at Ulta and let me tell you He was right. I have very oily skin and often a cleanser alone will not get ride of all the dirt and make-up. This in addition to my dermalogica cleanser works wonders!,Yes,5 years ago,"Spring,TX",2,0,Daily Microfoliant,Dermalogica,3/27/23
Gentle exfoliation!,Worth every penny. Gentle exfoliation that melts away and leave a light lather. This stuff (and the whole brand) leave my skin smooth clean and happy.,Yes,6 years ago,"Lr, AR",1,0,Daily Microfoliant,Dermalogica,3/27/23
Can't live with out this,Can't live with out this product,Yes,9 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
It's hydrating,I've used this product a few times and I haven't noticed that it's exfoliating my skin much. I do notice that it's hydrating and leaves my face feeling fresh. I'll continue using this mask especially since with the colder temperatures my face will need the extra moisture,No,2 years ago,"Riverside,Ca",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Such a great face wash!,"I've purchased this product twice, and I absolutely love it! It's so gentle but does a great job of exfoliating my skin and making it feel very soft.",No,2 years ago,D.C.,0,0,Daily Microfoliant,Dermalogica,3/27/23
The best,Awesome product I recommend,Yes,2 years ago,Undisclosed,0,1,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
"reduced redness, lessens wrinkles, feels","reduced redness, lessens wrinkles, feels great",Yes,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
love this exfoliant,I need to exfoliate and this one is the best that I have tried. It's pricey; good thing I didn't use it everyday. :-),Yes,9 years ago,"Portland, OR",1,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
would buy the regular sized bottle,in the shower it was easy to wipe away,Yes,3 years ago,Spokane Valley WA,0,0,Daily Microfoliant,Dermalogica,3/27/23
Stuck in pores,The exfoliant works it just gets stuck in my pores.,Yes,3 years ago,"Tucson, AZ",0,0,Daily Superfoliant,Dermalogica,3/27/23
So gentle but effective,Every other day after cleansing with an oil cleanser and foaming cleanser,Yes,5 years ago,Alexandria VA,0,0,Daily Microfoliant,Dermalogica,3/27/23
Not a harsh exfoliator,It's so finely milled that it's not harsh. It makes my skin feel clean. The only downside is the suplur smell.,No,3 months ago,okc,1,1,Daily Superfoliant,Dermalogica,3/27/23
"Love this mask, new favorite","I have been using a few different masks but this mask is just all around great. It's nice and easy to apply, it feels good, and it works. My skin gets a nice hydration and my pores get a nice deep clean. I used it every other day or so and that worked perfectly. I will continue to use this mask I love it.",No,2 years ago,Ohio,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Great cleanser!,"After trying Dermalogica intensive moisture cleanser for 4 weeks now, I've really noticed a great change in my skin. This didnt strip or dry out my skin, like most cleansers out there. It left no greasy feeling and really soaked into my skin as I cleansed my face. Somedays there was no need for extra moisturizer even! I have read some other reviews on this product and people were comparing this formula to an older formula that Dermalogica had. I had not tried the original formula, so I cannot compare. But, I really love this product and would highly recommend it to anyone with dry skin that needs a little extra moisture in your face cleanser. I will be repurchasing this definitely!",No,4 years ago,Michigan,0,0,Daily Superfoliant,Dermalogica,3/27/23
Gentle but Effective,"One of my favorite products that really makes an overall difference in my skin's texture and clarity. Leaves skin soft and smooth and makeup goes on much more evenly without clinging to dry patches. Should be used daily for best results. Makes skin look fresh, clean and youthful with a subtle glow. Gently exfoliates even the most sensitive skin without feeling abrasive. I do think it's a bit pricey but I love it.",No,6 years ago,Sarasota Florida,0,0,Daily Microfoliant,Dermalogica,3/27/23
ANOTHER new staple in my routine!,"I was surprised to see it is just a powder. I have not tried anything like this before, but I know Dermalogica makes amazing products, so I'm very glad I decided to give this a try! I used a little too much water to activate it. Just use a few drops of water and go from there until you get your desired consistency. Even though I lost a little product, ended up getting a great quick facial out of it! Since this Daily Microfoliant is literally meant to be used daily, there is no need to overdo it. GENTLY rub your face for up to 1 minute, then rinse. After my first use, I had the softest skin, and my actives I always use actually stung a little. Don't be fooled by the Daily Microfoliant smooth texture, it is definitely an exfoliator!! I'm going to use this nightly to give my skin a perfect canvas for my PM routine. I'm not big on daily physical exfoliating, but this product might just change my mind. My skin feels so smooth and soft the next morning! I wish I had this product 20 years ago.",No,1 year ago,CA,0,0,Daily Microfoliant,Dermalogica,3/27/23
I will used daily superfoliant every morning,In the morning I sprinkle some daily superfoliant on my facial cloth I use everyday. I can imagine all the dead cells being washed away.,Yes,5 years ago,"Baltimore County, MD",1,0,Daily Superfoliant,Dermalogica,3/27/23
Great for Dry Skin,"Having facial eczema, I am super impressed with this product! Add more product for more exfoliation - leaves the skin supple and non-irritable.",No,5 years ago,Liverpool,0,0,Daily Superfoliant,Dermalogica,3/27/23
Completely Obsessed,"I have completely fallen in love with this products. I have quite sensitive skin so finding a exfoliator that doesn't aggravate my skin is quite rare. I have been using this ever other day and have really noticed a difference in the way my skin feels and looks. I love how easy and quick this product is to use, you literally pour half a teaspoon of powder onto wet hands and then massage it onto your face and neck for one minute before rinsing it off. If you like exfoliators that aren't really harsh then this is the product for you, this products gentle exfoliates, enough to remove dead skin and impurities, without leaving your skin feeling stripped and looking red. This product is so easy to incorporate into your morning skincare routine, use it just after cleansing and then pop in my serum and moisturiser on afterwards. I love how beneficial this product is for your skin and it will work with any skin type too. *This product was send to me for testing purposes.",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
I don't feel this item,I don't feel this item helps moisturizer my skin.,No,2 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Positive results,Positive results,No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
New for me,Love how this product works with gentle cleanser,Yes,4 years ago,Tyler TX,0,0,Daily Superfoliant,Dermalogica,3/27/23
Love the Mask,Love this mask as its so quick so doesn't take long and it really has smoothed my skin.,No,10 months ago,Undisclosed,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Really good!,"I love how this product makes my skin feel and look! I use this in my daily routine along with the pre-cleanse balm, special cleansing gel and skin smoothing cream to finish and my face feels so nice after, the only downside is the smell it's not terrible but it isn't amazing.",No,5 years ago,Barnsley,0,0,Daily Superfoliant,Dermalogica,3/27/23
Order this now !,"I received a small package from the rep at Ulta. I immediatly ordered the full-size bottle. I love it, my skin has never been clearer, smoother or healthier looking.",Yes,4 years ago,Atlanta GA,1,0,Daily Superfoliant,Dermalogica,3/27/23
Nourishing and great for sensitive skin!,Highly recommend this cleanser. I have eczema and this feels so nourishing and doesn't dry out my face after use which is perfect for my sensitive skin.,No,6 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
My skin feels smoother!,My skin feels smoother!,Yes,2 years ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
wow wow!!,"Gifted for a review. One of the best physical exfoliants I've used. The smell is odd, but really nice. Kinda reminds me of rice. The powder mixes into a nice little paste which is easy to apply. I've used this as a face wash too because of the salicylic acid. I love the post use glow. Its also really great under your arm pits. Loving the glow.",No,1 year ago,los angeles,0,0,Daily Microfoliant,Dermalogica,3/27/23
Wouldn't recommend,I used this product every morning to help smooth out my skin and help fade my dark spots. After two months of using this product people around me noticed that my skin was looking worse that before! I really wanted to love this product so I continued to use it. I stopped using it a few days ago and my face is already starting to calm down.,No,4 years ago,"Phoenix,AZ",4,1,Daily Microfoliant,Dermalogica,3/27/23
Love it!,Gives my skin that extra level of clean,Yes,5 years ago,Rockville MD,1,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing product,"This product leaves your skin looking smooth and hydrated . It also has a light scent of cucumber and bamboo. It's convenient for those on a time crunch, as it only takes 5 minutes to work it magic. I received this as complimentary product.",No,2 years ago,Los Angeles,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
The BEST product ever!,"I love this product, it make my skin feel so soft & smooth. People always comment on how lovely my skin is & I am almost 50! After the Thermafoliant I use the Power Recovery Masque, a recipe for success!",No,10 years ago,Australia,5,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Works like magic!,"I received this product complimentary from Dermalogica, but all opinions are my own. After application, my face felt smooth, soft and cleansed. It's gentle, but very effective! This is indeed a great gentle exfoliator! The powder to foam formula feels luxurious and is easy to work with, leaving your skin feeling clean, soft and clear. I'm really pleased with the results! So glad that I have finally found an exfoliant that doesn't irritate my skin. Definitely recommended!",No,1 year ago,"Memphis, TN",0,0,Daily Microfoliant,Dermalogica,3/27/23
Best Ever!,I'll never be without it. I have very sensitive skin and was concerned about daily use. Have used this every morning and can't believe how much better my makeup looks. Using sensitive skin line products always.,Yes,4 years ago,Ohio,1,0,Daily Microfoliant,Dermalogica,3/27/23
Baby soft skin!!,I will always continue to repurchase. This is a great every day exfoliant. It gets the nasty residue off my face and cleans off dead skin and leaves my skin polished and so soft!! I also have really sensitive skin and this doesn't irritate it! LOVE!!,Yes,1 year ago,Arizona,0,0,Daily Superfoliant,Dermalogica,3/27/23
Exfoliates with Bamboo,"I love using this quick 5 minute mask to prep my skin before applying makeup. It hyrates with snow mushroom, and exfoliates with Bamboo! My skin feels so smooth and soft and looks luminous!",No,2 years ago,"Tampa, FL",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Happy with Dermalogica and can't,Happy with Dermalogica and can't wait to try more products,No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing!,Dermalogica Intensive Moisture Cleanser works wonderfully! My face feels so clean and moisturized after each use. I love it! Definitely recommend!!!,No,4 years ago,Florida,0,0,Daily Superfoliant,Dermalogica,3/27/23
Love to use this in the shower!,"I absolutely love how this stuff makes my face feel! I immediately notice my skin feeling softer after using one time and I also think it has helped with my breakouts. If you want baby soft skin, definitely give this stuff a try",No,1 year ago,"atlanta, ga",0,0,Daily Microfoliant,Dermalogica,3/27/23
My favorite Dermalogica product. Cleanses,My favorite Dermalogica product. Cleanses great and smells good but very subtle. I highly recommend Intensive Moisture Cleanser.,No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Best daily exfoliant,"Even for super sensitive skin types like mine, this is suuuuuper gentle and not abrasive at all. So you can defintely use daily and keep your skin clear and bright! I prefer this anti-age over the original because it's gentler. Product sent to me for review.",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
Not great doesn't seem to,Not great doesn't seem to do anything for my skin and the pump action is awkward,No,1 year ago,Undisclosed,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Gentle Moisturizing Cleanser,I love this gentle moisturizing cleanser for my sensitive dry skin.It also helps to remove makeup.The cheaper brands dry my face out.,Yes,9 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
So happy this is in my arsenal now,"I'm sold! I've been wanting to try this product for a really long time. I'm so excited that I finally got the opportunity to. It is absolutely incredible. You will not be disappointed in the results. I know I haven't been! My skin is so clear and much smoother in texture. My skin is also incredibly soft and shiny! The cherry on the top, is that the brightening of my skin has been so quick and so even. Definitely give this one a try!",No,1 year ago,Phoenix,0,0,Daily Microfoliant,Dermalogica,3/27/23
Love it,Really loved it will love to try more,No,2 years ago,Claymont,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
"Great for acne, but dried out skin with daily use","I use this for when I have small breakouts. It works better than other things I've tried with clearing up my skin. However, I tend to use the two days on- one day off schedule since using it daily dried out my skin too much. I found that it doesn't have much benefit compared to other cleansers with preventing breakouts, so I only use it once spots start to pop up since its kind of expensive.",No,5 years ago,"Lansing, MI",1,1,Daily Microfoliant,Dermalogica,3/27/23
Underwhelmed,Price point is too high for this product for what it does which is very little. No difference in my skin post use. Disappointed.,Yes,2 years ago,Willowbrook,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Noticeable difference.,I could tel a noticeable difference in my Skins texture in less than a week.,No,5 months ago,Undisclosed,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
I have used this for over 10 years!,Gentle exfoliating product. No perfume scent at all.,Yes,4 months ago,Maryland,0,0,Daily Microfoliant,Dermalogica,3/27/23
Intensive Moisture Cleanser,"I'm new to Dermalogica. I got a facial and the skin therapist recommended a few products from this line. She actually recommended the Ultracalming Cleanser but, since my skin always feels tight and dry, I decided to try this one instead. I've been using it for about two weeks and can tell a huge difference. My skin no longer feels tight or dry and it has a glow to it. I'd definitely recommend this product to everyone!!!",No,3 years ago,"Huntsville, AL",2,0,Daily Superfoliant,Dermalogica,3/27/23
love this!,I love this so much! my holy grail,No,5 years ago,ky,1,1,Daily Microfoliant,Dermalogica,3/27/23
FLAWLESS,"A fairly light scrub, it is not aggressive on my face. I use it daily, its formula is incredible, it helps me have clean skin, free of imperfections. My pores are visibly smaller, it's amazing. I totally recommend it, a product that you need to try.",No,1 year ago,"San Diego, CA",0,0,Daily Microfoliant,Dermalogica,3/27/23
Best Product for Textured Skin,"I am in my late 30's with pores the size of canyons. No matter what I do I can never seem to get skin I'm happy with, except for this. I use it twice daily, morning and night, and my skin is soft, supple, and glowing. I went a long time without replacing this and regret it so much. I've been lamenting about how good my skin looked in using it, and I made the smart decision to repurchase and my skin is magic again. 20/10 Hardcore recommend.",No,2 years ago,Northern California,0,0,Daily Superfoliant,Dermalogica,3/27/23
Love this mask,I just used my fingers and rubbed mask on clean damp skin. Left on for 5 mins and then wet fingers and rubbed it into my skin and then rinsed off. My skin was left feeling so soft and smooth and looking great. The texture of the mask has little spheres and it smells great. I would definitely recommend giving it a try!,No,2 years ago,Iowa,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
I use this a few,I use this a few times a week and is wonderful. Helps clear anything that is left and makes my skin soft,No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Makes my skin feel absolutely amazing,"After trying the dermalogica daily microfoliant my skin was super smooth and soft. It brightened my skin which is amazing when I don't wear makeup, and the exfoliant helped smooth my skin which made my makeup go on so much smoother and look better throughout the day. My skin feels so soft, I will definitely continue to use this product!",No,1 year ago,"Holmdel, NJ",0,0,Daily Microfoliant,Dermalogica,3/27/23
It's hydrating,I've used this product a few times and I haven't noticed that it's exfoliating my skin much. I do notice that it's hydrating and leaves my face feeling fresh. I'll continue using this mask especially since with the colder temperatures my face will need the extra moisture,No,2 years ago,"Riverside,Ca",0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
TEXTURE WHERE?! Flawless base!,"I AM SO OBSSESSED! I have the worlds driest skin (excema, flakes, irritation) all of it! This took away my texture in one use. It hydrated my skin while also exfoliating it. It did not irritate it at all. The blackheads on my nose are gone! It has a slight smell of rice or tapioca but it's not super strong. It is very expensive but it lasts a long time because a little product goes a long way!!! I will forever purchase this.",No,3 months ago,Southern California,2,0,Daily Microfoliant,Dermalogica,3/27/23
Love this,"I've been trying this out for a couple of days and I already can see a difference it makes me skin feel amazing after using it , it smooths my skin ready for my makeup. Really easy to use and a good extra step in your skin care routine.",No,5 years ago,London,0,0,Daily Superfoliant,Dermalogica,3/27/23
My go to exfoliant,"I use this exfoliator every morning. I have acne prone combination/oily skin. It helps lighten my acne scars and it helps even my skin tone and texture. Just make sure you add enough water, because it is a powdered exfoliant, so if it's too dry it can irritate your skin.",Yes,5 years ago,"Louisville, KY",1,0,Daily Microfoliant,Dermalogica,3/27/23
I'm Blown Away,"First, a little background. I have oily skin, but I also have mild seborrheic dermatitis (a form of eczema). My face is sensitive, oily, AND rough / dry simultaneously. This makes finding products difficult. I used to use St. Ives Apricot Scrub (too harsh) & Dr. Brandt's Microdermabrasion (too drying) before faithfully. This is the best exfoliant I've tried thus far. It's a powder that transforms into a scrub after wetting and rubbing your hands together. My face has never felt so smooth. It also doesn't dry my face out. I tried the mini version but I'll definitely be purchasing a full size soon. I use it once a week, but only bc I use a harsher microexfoliant once a week as well (bc of eczema). However, once I use all of my other exfoliants up, I'll probably only purchase this product though.",Yes,5 years ago,"Virginia Beach, VA",0,0,Daily Microfoliant,Dermalogica,3/27/23
This is an excellent product,This is an excellent product for exfoliating. I use the daily and this a couple times a week,No,1 year ago,Undisclosed,1,0,Daily Superfoliant,Dermalogica,3/27/23
Game Changer Exfoliator,"This is the product that I've been missing all along. I am so glad that I have now added this to my skin care routine. It's very easy to use. I like having the ability to exfoliate my skin without using any beauty tools, only product. After I wash my face using exfoliant my skin feels completely smooth and soft. I've even noticed a difference in the brightness of my skin after use. My face and neck appear more youthful and hydrated. I love using this product twice a week. It has truly been a game changer for my skin!",No,1 year ago,Philadelphia,0,0,Daily Microfoliant,Dermalogica,3/27/23
Squeaky Clean,"Dermalogica Intensive Moisture Cleanser is one of my new favorite ckeansers. It's a white cream soap in a great pump bottle. A little goes a long way, so it should last a long time. It left my skin squeaky clean without that dried out feeling. It is unscented too.I recommend this for all types of skin from dry to oily. I would purchase again",No,4 years ago,"Columbia, SC",0,0,Daily Superfoliant,Dermalogica,3/27/23
This is amazing,It's so gentle on sensitive skin!,No,2 years ago,Murfreesboro,0,0,Daily Microfoliant,Dermalogica,3/27/23
Best moisturizer ever!,This is the only moisturizer that works on my skin. It's not oily and makes your skin feel soft. I will only buy this product.,Yes,9 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
My thoughts,I absolutely love how this Powder Exfoliant lathers on my face and leaves my face feeling so fresh and clean!,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Estoy fascinada con este producto,Estoy fascinada con este producto es increÃ­ble mente bueno para tu piel yo tengo dos semanas usÃ¡ndolo y mi piel se mira y se siente muy suave,Yes,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Great product,A little goes a long way. Using this product after the cleanser feels great on my skin.,No,1 year ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Buy it!,Works great for all skin types!,No,2 years ago,Richmond Va,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Tightens too.,"Perfect for my skin, used this product for the past ten years an still love it.",Yes,6 years ago,Seattle,0,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
Use this daily,I use this daily in the shower on my face after washing. Love the way it makes my skin feel.,Yes,5 years ago,"Jax, Fl",0,0,Daily Superfoliant,Dermalogica,3/27/23
Genius idea of cleanser,"I have oily skin and big pores, this product is so good, easy to use, no mess. My skin feels clean and solf then",No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Can't go without!,I love this product so much! Even though it's a scrub it releases natural oils and doesn't dry out my skin. It hydrates it. The warm feeling is pretty cool too. This has become a staple in my skincare routine.,No,3 years ago,Houston,2,0,Multi-Vitamin Thermafoliant,Dermalogica,3/27/23
This is AMAZING,"I use it before my regular face wash, it leaves a little sting when applying my toner but it's really short. My face is beginning to clear up partially because of this product, avoiding sugar, and being consistent with all of my other products.",Yes,6 months ago,"Lewiston, ID",3,0,Daily Superfoliant,Dermalogica,3/27/23
Very good,I tried it and it leave my skin very refreshing. Can't wait to buy more I used it woth my facial routine.,No,5 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Nothing Special :(,"Definitely has a weird smell - not bad, but somewhat ""stale"" and chemical-ish. I didn't notice a difference in my skin while using this, but I can say that it isn't super abrasive and is good on sensitive skin, considering that I didn't break out or have any sort of reaction.",No,6 months ago,CA,2,1,Daily Microfoliant,Dermalogica,3/27/23
"Yes, I would buy this product again! I love it : D",I washed my face tonight by using product and I really liked it. This product doesn't irritate my face I'm going to buy this from now on,No,5 years ago,"San Bernardino, Ca",1,0,Daily Microfoliant,Dermalogica,3/27/23
Perfect for making your skin,Perfect for making your skin feel vibrant.,No,7 months ago,Undisclosed,0,0,Daily Superfoliant,Dermalogica,3/27/23
Amazing!,"Best brand on the market by far!! Absolutely love this cleanser, it's gentle yet really gets off all the dirt on your face very easily! It's not harsh at all but leaves your face squeaky clean and smooth and soft! Gifted by Dermalogica",No,1 year ago,Tampa Fl,0,0,Daily Microfoliant,Dermalogica,3/27/23
My skin felt so fresh,I really loved the bubbling action. I felt it was instantaneously activated. I also believe this fresh activation really ignited the pore cleanse of this mask. I would highly recommend !,No,2 years ago,Connecticut,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Works well,"I love Dermalogica products so I was very happy to receive this product complimentary for testing and review purposes. I am a mask fanatic. No joke. If it is out there I will probably try it. 😆 Especially if it happens to be a product from one of my favorite brands. This is a multi tasking skincare product. While it polishes away dead skin cells it also hydrates at the same time. Great for those who needs both exfoliation and hydration. Hello people with dry chin skin. This product is for YOU. It smells really good and didn't cause any irritation what-so-ever. I have been using the product for about a month a couple of times per week and really enjoy it. Highly recommend. Also, it has Vit D in it which is great for the skin. ❤",No,2 years ago,Oregon,0,0,Hydro Masque Exfoliant,Dermalogica,3/27/23
Liked it a lot,Great deep cleanse and exfoliation,Yes,5 years ago,Massachusetts,0,0,Daily Superfoliant,Dermalogica,3/27/23
